Date : 2025-03-30 15:48:02
Directory : d:\Projects\Advenro\Advenro
Total : 466 files,  75866 codes, 10487 comments, 10345 blanks, all 96698 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\Projects\Advenro\Advenro\src\components\common\ToastNotifications.js                 | JavaScript   |         65 |         28 |         11 |        104 |
| d:\Projects\Advenro\Advenro\src\components\docs\Documentation.js                        | JavaScript   |        117 |          0 |         10 |        127 |
| d:\Projects\Advenro\Advenro\src\components\flights\flight-search.html                   | HTML         |         50 |          1 |          8 |         59 |
| d:\Projects\Advenro\Advenro\src\components\hotels\BookingComIntegration.js              | JavaScript   |        173 |          1 |         12 |        186 |
| d:\Projects\Advenro\Advenro\src\components\hotels\HotelDetail.js                        | JavaScript   |        170 |          0 |         13 |        183 |
| d:\Projects\Advenro\Advenro\src\components\hotels\HotelList.js                          | JavaScript   |        143 |          0 |         15 |        158 |
| d:\Projects\Advenro\Advenro\src\components\layout\Layout.js                             | JavaScript   |        114 |          0 |          6 |        120 |
| d:\Projects\Advenro\Advenro\src\components\loading-spinner.html                         | HTML         |        104 |          4 |         15 |        123 |
| d:\Projects\Advenro\Advenro\src\components\localServices\LocalServiceDetail.js          | JavaScript   |        206 |          0 |         14 |        220 |
| d:\Projects\Advenro\Advenro\src\components\localServices\LocalServicesList.js           | JavaScript   |        164 |          0 |         16 |        180 |
| d:\Projects\Advenro\Advenro\src\components\offline-support.html                         | HTML         |        206 |          8 |         33 |        247 |
| d:\Projects\Advenro\Advenro\src\components\payment\PaymentForm.css                      | CSS          |         72 |          0 |         11 |         83 |
| d:\Projects\Advenro\Advenro\src\components\payment\PaymentForm.js                       | JavaScript   |         91 |          6 |         15 |        112 |
| d:\Projects\Advenro\Advenro\src\components\payment\StripeProvider.js                    | JavaScript   |         12 |          1 |          3 |         16 |
| d:\Projects\Advenro\Advenro\src\components\restaurants\RestaurantDetail.js              | JavaScript   |        183 |          0 |         13 |        196 |
| d:\Projects\Advenro\Advenro\src\components\restaurants\RestaurantList.js                | JavaScript   |        155 |          0 |         16 |        171 |
| d:\Projects\Advenro\Advenro\src\components\reviews\review-form.html                     | HTML         |          0 |          0 |          1 |          1 |
